slug,nom_standard,code_departement,libelle_departement,tour_decisif,1ere_liste_nom,1ere_liste_nuance,1ere_liste_bloc,1ere_liste_libelle_nuance,1ere_liste_tete_nom,1ere_liste_tete_prenom,1ere_liste_voix,1ere_liste_pct_voix_exp,2eme_liste_nom,2eme_liste_nuance,2eme_liste_bloc,2eme_liste_libelle_nuance,2eme_liste_tete_nom,2eme_liste_tete_prenom,2eme_liste_voix,2eme_liste_pct_voix_exp,population_majeurs,votes_decisifs,non_votants_18_39
1-7-ambronay,Ambronay,1,Ain,1,AMBRONAY AVEC VOUS,LNC,AUT,Listes de non-candidats nationaux,BARILLOT,Marie-Christine,543,50.23,ENSEMBLE POUR L'AVENIR D'AMBRONAY,LNC,AUT,Listes de non-candidats nationaux,MANCUSO,Vincent,538,49.77,2097,5,348
1-4-amberieu-en-bugey,Ambérieu-en-Bugey,1,Ain,1,UNIS POUR AMBERIEU,LDVC,CENT,Divers centre,FABRE,Daniel,1410,50.98,VIVONS NOTRE VILLE,LDVG,GAU,Divers gauche,CHRISTIN,Rémi,630,22.78,11121,54,3228
1-5-amberieux-en-dombes,Ambérieux-en-Dombes,1,Ain,1,"Ambérieux, l'avenir ensemble",LNC,AUT,Listes de non-candidats nationaux,PERNET,Pierre,315,100,,,,,,,,,1368,316,345
1-10-anglefort,Anglefort,1,Ain,1,CONTINUONS ANGLEFORT,LNC,AUT,Listes de non-candidats nationaux,THIBOUD,Bernard,195,100,,,,,,,,,809,196,187
1-14-arbent,Arbent,1,Ain,1,"POUR ARBENT, VOTRE SOUTIEN, NOTRE ENGAGEMENT",LNC,AUT,Listes de non-candidats nationaux,CRACCHIOLO,Philippe,576,60.57,ARBENT AUTREMENT,LNC,AUT,Listes de non-candidats nationaux,GERVASONI,Dominique,375,39.43,2592,201,451
1-21-ars-sur-formans,Ars-sur-Formans,1,Ain,1,ARS 2020,LNC,AUT,Listes de non-candidats nationaux,PACCAUD,Richard,342,100,,,,,,,,,1132,343,236
1-22-artemare,Artemare,1,Ain,1,ARTEMARE C'EST VOUS !,LNC,AUT,Listes de non-candidats nationaux,DESCHAMPS,Roland,353,62.15,"ARTEMARE J'Y TIENS, ARTEMARE J'Y VIS",LNC,AUT,Listes de non-candidats nationaux,CHARMONT MUNET,Mireille,215,37.85,973,138,97
1-24-attignat,Attignat,1,Ain,1,ATTIGNAT 2020... ensemble pour l'avenir !,LNC,AUT,Listes de non-candidats nationaux,MARTIN,Walter,777,100,,,,,,,,,2483,778,536
1-27-balan,Balan,1,Ain,1,Balan 2026 - Une évolution sans rupture,LNC,AUT,Listes de non-candidats nationaux,MEANT,Patrick,410,100,,,,,,,,,2058,411,919
1-170-beard-geovreissiat,Beard-Géovreissiat,1,Ain,1,ENSEMBLE BEARD-GEOVREISSIAT,LNC,AUT,Listes de non-candidats nationaux,COMTET,Laurent,238,100,,,,,,,,,742,239,150
